v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.760000000000001e+000	1.181164e-005	-2.428078e-005	-1.181154e-005	-4.756747e-005	-9.051173e-005	-1.675692e-004
1.770000000000001e+000	1.203505e-005	-2.471025e-005	-1.203495e-005	-4.837206e-005	-9.197633e-005	-1.701475e-004
1.780000000000001e+000	1.226039e-005	-2.514295e-005	-1.226030e-005	-4.918204e-005	-9.344938e-005	-1.727381e-004
1.790000000000001e+000	1.248767e-005	-2.557889e-005	-1.248758e-005	-4.999739e-005	-9.493082e-005	-1.753407e-004
1.800000000000001e+000	1.271687e-005	-2.601804e-005	-1.271678e-005	-5.081806e-005	-9.642055e-005	-1.779553e-004
1.810000000000001e+000	1.294799e-005	-2.646038e-005	-1.294790e-005	-5.164402e-005	-9.791852e-005	-1.805817e-004
1.820000000000001e+000	1.318103e-005	-2.690592e-005	-1.318093e-005	-5.247524e-005	-9.942464e-005	-1.832198e-004
1.830000000000001e+000	1.341597e-005	-2.735462e-005	-1.341587e-005	-5.331169e-005	-1.009389e-004	-1.858694e-004
1.840000000000001e+000	1.365281e-005	-2.780648e-005	-1.365272e-005	-5.415333e-005	-1.024611e-004	-1.885304e-004
1.850000000000001e+000	1.389155e-005	-2.826148e-005	-1.389145e-005	-5.500012e-005	-1.039912e-004	-1.912027e-004
1.860000000000001e+000	1.413218e-005	-2.871962e-005	-1.413208e-005	-5.585203e-005	-1.055293e-004	-1.938860e-004
1.870000000000001e+000	1.437469e-005	-2.918086e-005	-1.437459e-005	-5.670904e-005	-1.070751e-004	-1.965804e-004
1.880000000000001e+000	1.461908e-005	-2.964521e-005	-1.461898e-005	-5.757109e-005	-1.086286e-004	-1.992856e-004
1.890000000000002e+000	1.486534e-005	-3.011264e-005	-1.486523e-005	-5.843817e-005	-1.101898e-004	-2.020016e-004
1.900000000000002e+000	1.511346e-005	-3.058315e-005	-1.511336e-005	-5.931023e-005	-1.117586e-004	-2.047282e-004
1.910000000000002e+000	1.536345e-005	-3.105672e-005	-1.536334e-005	-6.018726e-005	-1.133349e-004	-2.074652e-004
1.920000000000002e+000	1.561529e-005	-3.153332e-005	-1.561519e-005	-6.106920e-005	-1.149187e-004	-2.102126e-004
1.930000000000002e+000	1.586898e-005	-3.201297e-005	-1.586887e-005	-6.195603e-005	-1.165098e-004	-2.129702e-004
1.940000000000002e+000	1.612451e-005	-3.249562e-005	-1.612440e-005	-6.284771e-005	-1.181083e-004	-2.157379e-004
1.950000000000002e+000	1.638188e-005	-3.298128e-005	-1.638177e-005	-6.374423e-005	-1.197140e-004	-2.185156e-004
1.960000000000002e+000	1.664108e-005	-3.346993e-005	-1.664097e-005	-6.464553e-005	-1.213268e-004	-2.213032e-004
1.970000000000002e+000	1.690210e-005	-3.396155e-005	-1.690200e-005	-6.555159e-005	-1.229468e-004	-2.241005e-004
1.980000000000002e+000	1.716495e-005	-3.445613e-005	-1.716485e-005	-6.646237e-005	-1.245739e-004	-2.269074e-004
1.990000000000002e+000	1.742961e-005	-3.495366e-005	-1.742951e-005	-6.737786e-005	-1.262079e-004	-2.297238e-004
2.000000000000001e+000	1.769608e-005	-3.545413e-005	-1.769598e-005	-6.829800e-005	-1.278489e-004	-2.325497e-004
2.010000000000001e+000	1.796435e-005	-3.595751e-005	-1.796425e-005	-6.922277e-005	-1.294967e-004	-2.353848e-004
2.020000000000001e+000	1.823443e-005	-3.646380e-005	-1.823432e-005	-7.015214e-005	-1.311513e-004	-2.382291e-004
2.030000000000001e+000	1.850629e-005	-3.697299e-005	-1.850618e-005	-7.108608e-005	-1.328126e-004	-2.410824e-004
2.040000000000001e+000	1.877994e-005	-3.748505e-005	-1.877983e-005	-7.202456e-005	-1.344806e-004	-2.439447e-004
2.050000000000000e+000	1.905537e-005	-3.799997e-005	-1.905526e-005	-7.296754e-005	-1.361552e-004	-2.468158e-004
2.060000000000000e+000	1.933258e-005	-3.851774e-005	-1.933247e-005	-7.391500e-005	-1.378364e-004	-2.496956e-004
2.070000000000000e+000	1.961155e-005	-3.903836e-005	-1.961145e-005	-7.486690e-005	-1.395240e-004	-2.525841e-004
